School Type,Behavior Category,August,,September,,October,,November,,December,,January,,February,,March,
,,2022-23,2023-24,2022-23,2023-24,2022-23,2023-24,2022-23,2023-24,2022-23,2023-24,2022-23,2023-24,2022-23,2023-24,2022-23,2023-24
Early Childhood Center,Behaviors of a Safety Concern,0,0,0,0,0,1,0,3,0,3,0,2,0,7,0,4
,Behaviors related to School Operations,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
,Behaviors that Endanger Self or Others,0,0,0,1,0,1,0,1,0,3,0,2,0,9,0,7
,Relationship Behaviors,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Early Childhood Center Total,,0,0,0,1,0,2,0,5,0,7,0,6,0,17,0,13
Elementary,Behaviors of a Safety Concern,2,11,186,242,235,314,256,272,179,185,350,195,445,338,430,312
,Behaviors related to School Operations,1,4,15,55,36,64,24,48,14,35,54,66,58,57,69,42
,Behaviors that Endanger Self or Others,4,3,38,39,36,77,22,49,9,28,72,53,60,72,49,76
,Behaviors that Impede the Academic Progress,2,2,20,52,32,65,43,60,21,39,33,58,72,45,72,79
,Persistently Dangerous,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Relationship Behaviors,3,8,53,103,82,131,101,95,43,74,110,112,160,154,161,144
Elementary Total,,12,28,310,488,418,645,442,521,262,360,617,476,790,661,775,647
Middle,Behaviors of a Safety Concern,4,3,157,137,196,180,195,169,138,101,186,132,239,181,238,175
,Behaviors related to School Operations,1,2,76,56,163,130,148,125,75,112,155,139,247,211,258,173
,Behaviors that Endanger Self or Others,3,0,31,31,24,34,22,36,11,26,41,32,51,33,41,48
,Behaviors that Impede the Academic Progress,1,1,67,55,127,112,129,123,111,67,156,130,217,138,247,109
,Persistently Dangerous,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,Relationship Behaviors,7,3,141,136,194,290,228,252,142,157,275,197,382,318,392,270
Middle Total,,16,9,461,405,683,733,714,684,469,451,803,617,"1,117",871,"1,165",763
High,Behaviors of a Safety Concern,10,11,131,131,127,137,97,89,74,53,98,75,120,114,147,81
,Behaviors related to School Operations,15,6,208,182,289,255,284,322,187,190,291,208,375,450,329,346
,Behaviors that Endanger Self or Others,5,6,35,39,31,49,37,39,22,23,40,25,50,37,60,37
,Behaviors that Impede the Academic Progress,3,8,79,124,140,219,157,191,105,127,66,117,168,268,152,314
,Persistently Dangerous,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
,Relationship Behaviors,10,5,130,129,115,161,136,149,69,94,110,104,208,252,201,256
High Total,,42,34,579,601,698,805,701,785,448,480,599,526,908,"1,112",876,"1,022"
